"","Genotypes","Mock_AUDPC"
"1",Col0,29.9444444444444
"2",FP34-P1,28
"3",GG2-272,28
"4",FP6-P1,30
"5",FP1-P1,28
"6",GG1-64,28
"7",FP4-P1,28.5833333333333
"8",FP6-P4,28.5833333333333
