"gene_id","OLD_LEAF-YOUNG_LEAF","INFECTED-UNINFECTED","I:Tissue_OLD_LEAF-Treatment_INFECTED"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-160.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-162.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-163.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-163.9-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-164.8-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-166.5-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-167.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-17.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-171.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-171.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-171.9-MRNA-1","Down","None","Up"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-173.8-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-174.12-MRNA-1","Down","None","Up"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-174.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-174.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-174.7-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-174.8-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-175.1-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-175.11-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-175.9-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-176.10-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-176.16-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-176.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-176.24-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-177.11-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-177.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-178.10-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-179.12-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-179.4-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-179.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-180.1-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-181.1-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-181.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-181.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-182.13-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-182.15-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-183.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-184.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-184.6-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-186.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-187.12-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-187.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-188.15-MRNA-1","Down","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-188.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-188.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-191.1-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-192.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-192.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-192.13-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-193.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-193.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-195.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-196.0-MRNA-1","Down","None","Up"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-196.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-197.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-199.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-200.14-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-200.6-MRNA-1","None","None","Up"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-200.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-201.11-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-201.6-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-202.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-202.11-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-203.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-203.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-204.0-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-204.8-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-205.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-205.3-MRNA-1","Down","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-205.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-205.8-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-206.12-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-206.2-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-207.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-207.12-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-207.9-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-208.1-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-208.8-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-209.14-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-209.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-209.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-21.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-210.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-211.4-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-212.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-213.10-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-213.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-214.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-214.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-216.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-216.14-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-216.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-218.10-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-218.4-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-218.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-220.12-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-220.7-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-221.10-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-221.19-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-221.4-MRNA-1","None","None","None"
