Hairpin,Genome,Total siRNA hits,Efficient siRNA hits
ABF Col_0,V.dahliae JR2,1,1
Sge1,V.dahliae JR3,162,0
Wc1,V.dahliae JR4,590,0
GFP,V.dahliae JR5,377,0
V_dahliae Chr7 segment,V.dahliae JR6,4410,2074
ABF Col_0,Col-0,0,0
Sge1,Col-0,0,0
Wc1,Col-0,0,0
GFP,Col-0,0,0
V_dahliae Chr7 segment,Col-0,0,0
