"","Genotypes","Inno_AUDPC"
"1",Col0,85.8529411764706
"2",FP34-P1,37.8
"3",GG2-272,49
"4",FP6-P1,28
"5",FP1-P1,41.5
"6",GG1-64,38.5
"7",FP4-P1,28
"8",FP6-P4,53.0833333333333
